# 20150421-173954.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 5e-3 s ( 5ms )
#  { screen range 18*(t/DIV)= 90ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 125e3 Hz [Sa/s] ( 125kHz )
#  {eqv.period: 8us range: 128ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 8e-6 s ( 8us )
#  {eqv.freq: 125kHz range: 128ms }
# Sampling interval (screen_range/num_samples)   : 5.625e-6 s ( 5.625us )
#  {eqv.freq: 177.777777777778kHz }
# Time Ranges 128ms > 90ms: assume resample +recalc;
#  { final timestep: 8e-6 / 8us {eqv.freq: 125kHz range 128ms }}
# Oversample factor: 1.0 ( -- 1.422222 1 0.422222222222222 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 3 (Trig'd); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-240e-3,3.68)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 5ms T/DIV2 5ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 640mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,112,116,0,-240e-3,0
1,112,116,8e-06,-240e-3,0
2,112,116,1.6e-05,-240e-3,0
3,112,116,2.4e-05,-240e-3,0
4,112,116,3.2e-05,-240e-3,0
5,112,116,4e-05,-240e-3,0
6,112,116,4.8e-05,-240e-3,0
7,112,116,5.6e-05,-240e-3,0
8,112,116,6.4e-05,-240e-3,0
9,112,116,7.2e-05,-240e-3,0
10,112,116,8e-05,-240e-3,0
11,113,116,8.8e-05,-200e-3,0
12,112,116,9.6e-05,-240e-3,0
13,112,116,0.000104,-240e-3,0
14,112,116,0.000112,-240e-3,0
15,112,116,0.00012,-240e-3,0
16,112,116,0.000128,-240e-3,0
17,113,116,0.000136,-200e-3,0
18,112,116,0.000144,-240e-3,0
19,112,116,0.000152,-240e-3,0
20,112,116,0.00016,-240e-3,0
21,112,116,0.000168,-240e-3,0
22,112,116,0.000176,-240e-3,0
23,112,116,0.000184,-240e-3,0
24,112,116,0.000192,-240e-3,0
25,112,116,0.0002,-240e-3,0
26,112,116,0.000208,-240e-3,0
27,112,116,0.000216,-240e-3,0
28,112,116,0.000224,-240e-3,0
29,112,116,0.000232,-240e-3,0
30,113,116,0.00024,-200e-3,0
31,112,116,0.000248,-240e-3,0
32,113,116,0.000256,-200e-3,0
33,112,116,0.000264,-240e-3,0
34,112,116,0.000272,-240e-3,0
35,113,116,0.00028,-200e-3,0
36,113,116,0.000288,-200e-3,0
37,113,116,0.000296,-200e-3,0
38,112,116,0.000304,-240e-3,0
39,112,116,0.000312,-240e-3,0
40,112,116,0.00032,-240e-3,0
41,112,116,0.000328,-240e-3,0
42,113,116,0.000336,-200e-3,0
43,112,116,0.000344,-240e-3,0
44,112,116,0.000352,-240e-3,0
45,112,116,0.00036,-240e-3,0
46,112,116,0.000368,-240e-3,0
47,112,116,0.000376,-240e-3,0
48,112,116,0.000384,-240e-3,0
49,112,116,0.000392,-240e-3,0
50,112,116,0.0004,-240e-3,0
51,112,116,0.000408,-240e-3,0
52,112,116,0.000416,-240e-3,0
53,113,116,0.000424,-200e-3,0
54,112,116,0.000432,-240e-3,0
55,112,116,0.00044,-240e-3,0
56,112,116,0.000448,-240e-3,0
57,112,116,0.000456,-240e-3,0
58,112,116,0.000464,-240e-3,0
59,112,116,0.000472,-240e-3,0
60,112,116,0.00048,-240e-3,0
61,112,116,0.000488,-240e-3,0
62,112,116,0.000496,-240e-3,0
63,112,116,0.000504,-240e-3,0
64,112,116,0.000512,-240e-3,0
65,112,116,0.00052,-240e-3,0
66,112,116,0.000528,-240e-3,0
67,112,116,0.000536,-240e-3,0
68,113,116,0.000544,-200e-3,0
69,112,116,0.000552,-240e-3,0
70,113,116,0.00056,-200e-3,0
71,112,116,0.000568,-240e-3,0
72,112,116,0.000576,-240e-3,0
73,112,116,0.000584,-240e-3,0
74,112,116,0.000592,-240e-3,0
75,112,116,0.0006,-240e-3,0
76,112,116,0.000608,-240e-3,0
77,112,116,0.000616,-240e-3,0
78,112,116,0.000624,-240e-3,0
79,112,116,0.000632,-240e-3,0
80,112,116,0.00064,-240e-3,0
81,112,116,0.000648,-240e-3,0
82,112,116,0.000656,-240e-3,0
83,112,116,0.000664,-240e-3,0
84,112,116,0.000672,-240e-3,0
85,112,116,0.00068,-240e-3,0
86,112,116,0.000688,-240e-3,0
87,112,116,0.000696,-240e-3,0
88,112,116,0.000704,-240e-3,0
